nlimbs bitwidth real user sys mem
2 64 12.13 11.77 0.36 730336
3 64 13.89 13.58 0.30 740296
3 64 13.34 13.06 0.27 740160
3 64 13.15 12.80 0.34 740616
3 64 13.32 12.97 0.34 740684
3 64 13.40 13.10 0.27 740304
3 64 13.42 13.13 0.28 740772
3 64 13.39 13.10 0.28 741108
3 64 13.51 12.95 0.53 740876
3 64 13.40 13.10 0.29 741364
3 64 13.40 13.07 0.32 741608
3 64 13.39 13.08 0.29 741744
3 64 13.41 13.18 0.23 741448
3 64 13.18 12.87 0.30 741596
3 64 13.41 13.12 0.29 742276
3 64 13.43 13.15 0.27 741548
3 64 13.50 13.19 0.29 742076
3 64 13.44 13.14 0.29 741652
3 64 13.43 13.11 0.31 741612
4 32 15.49 15.23 0.25 744500
4 64 16.96 16.59 0.36 758260
4 64 16.91 16.62 0.29 758476
4 64 16.84 16.55 0.29 758900
4 64 16.89 16.61 0.27 758324
4 64 16.99 16.68 0.30 758020
4 64 17.00 16.65 0.32 758860
4 64 17.00 16.64 0.35 759912
4 64 16.87 16.56 0.30 758672
4 64 16.91 16.51 0.36 757188
4 64 16.99 16.61 0.34 758372
4 64 16.85 16.57 0.28 757220
4 64 16.99 16.67 0.31 758480
4 64 16.87 16.52 0.35 759088
4 64 16.90 16.56 0.34 759272
4 64 16.92 16.66 0.25 757856
4 64 16.98 16.62 0.34 758692
4 64 17.07 16.76 0.28 758124
4 64 16.97 16.63 0.33 757416
4 64 16.96 16.66 0.30 758212
4 64 16.93 16.64 0.28 757788
4 64 16.75 16.43 0.32 756328
4 64 16.95 16.66 0.29 758048
4 64 16.93 16.62 0.28 759684
4 64 16.91 16.57 0.33 757736
5 32 36.81 36.49 0.32 776540
5 32 36.69 36.37 0.32 779516
5 32 36.70 36.38 0.31 784552
5 32 35.77 35.48 0.28 785704
5 32 36.79 36.53 0.25 775192
5 32 36.67 36.35 0.31 784348
5 32 36.82 36.46 0.35 784344
5 32 36.55 36.23 0.32 775576
5 32 36.66 36.32 0.33 775828
5 64 38.97 38.61 0.35 795652
5 64 39.07 38.74 0.31 795784
5 64 39.31 38.94 0.32 794048
6 32 278.12 277.63 0.47 879080
6 32 278.29 277.40 0.56 879048
6 32 279.41 278.64 0.44 879008
6 32 281.28 280.85 0.42 878852
6 32 279.67 279.15 0.50 878872
6 32 279.40 279.03 0.36 878816
6 32 276.71 276.32 0.39 879064
6 32 279.94 279.53 0.41 879052
6 32 280.59 280.22 0.36 879088
6 64 281.82 281.41 0.41 889088
6 64 290.50 290.07 0.39 889232
6 64 298.49 297.94 0.53 889196
6 64 297.50 297.07 0.42 889168
6 64 291.38 290.29 0.72 889456
6 64 289.99 289.54 0.44 889532
6 64 292.51 292.12 0.37 888980
6 64 299.88 299.39 0.48 910348
6 64 298.40 297.92 0.46 910300
6 64 290.83 290.37 0.43 910520
6 64 290.43 289.70 0.48 910404
6 64 291.89 291.48 0.38 889028
6 64 299.64 298.52 0.73 888932
6 64 297.72 297.27 0.43 910384
6 64 291.12 290.71 0.40 910320
7 32 3316.15 3315.48 0.58 893104
7 32 3333.81 3331.34 1.50 893144
7 32 3400.56 3399.96 0.54 897112
7 32 3431.03 3423.46 3.32 899584
7 32 3391.92 3388.07 1.81 897296
7 32 3385.27 3384.79 0.46 895256
7 32 3421.85 3421.30 0.42 895700
7 32 3419.25 3412.74 3.09 895256
7 32 3401.69 3401.21 0.42 895276
7 32 3384.66 3384.23 0.41 896520
7 32 3356.83 3356.36 0.47 893296
7 64 3539.70 3538.87 0.67 939608
7 64 3553.85 3552.30 0.87 936252
7 64 3543.86 3543.39 0.45 942956
7 64 3555.74 3555.18 0.47 943656
7 64 3562.93 3562.36 0.53 940108
7 64 3535.92 3535.29 0.52 943072
7 64 3559.26 3556.62 1.39 940116
8 32 45651.73 45240.86 17.73 944364
8 32 45453.94 45157.52 9.61 943672
8 32 45489.46 45140.25 16.43 944736
8 32 45671.70 44788.84 16.97 944520
8 32 45035.79 44703.83 17.36 943600
8 32 45062.25 44665.79 15.05 944788
8 32 45086.93 44253.33 15.55 944976
8 32 43917.41 43117.87 12.09 944932
8 32 41310.92 41268.75 14.37 944932
8 32 40846.98 40844.02 1.66 944560
8 32 41426.73 41401.26 10.23 944220
8 32 40718.27 40703.95 6.80 944376
8 32 41085.89 41035.82 19.47 944600
8 64 42015.43 41991.59 9.76 988808
8 64 42051.25 42017.23 13.58 991484
8 64 42004.78 42000.31 2.67 987828
8 64 41940.04 41902.83 15.47 988572
8 64 42524.91 42113.35 7.20 997148
8 64 42414.13 41964.52 13.86 945340
8 64 42202.07 42174.28 9.17 998960
8 64 42502.71 42348.28 6.93 993172
8 64 43180.91 42877.85 12.33 966676
8 64 43342.58 43032.53 12.44 991224
8 64 43334.16 42996.31 14.80 994016
8 64 43410.85 43056.12 13.40 988156
9 32 468581.77 468135.69 83.40 945308
9 32 472734.85 472248.68 105.21 912784
9 64 424535.65 424116.13 104.04 1002864
