param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,eta-cast-pf-real,eta-cast-pf-sys,eta-cast-pf-user,eta-constr-pf-real,eta-constr-pf-sys,eta-constr-pf-user,eta-make-let-ins-real,eta-make-let-ins-sys,eta-make-let-ins-user,eta-make-pf-real,eta-make-pf-sys,eta-make-pf-user,eta-refine-real,eta-refine-sys,eta-refine-user,eta-refine-and-close-real,eta-refine-and-close-sys,eta-refine-and-close-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.004,0.006,0.,0.,0.,0.,0.,0.,0.004,0.003,0.,0.,0.,0.,0.002,0.,0.001,0.002,0.,0.002,0.,0.,0.,0.01,0.004,0.006
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.008,0.009,0.,0.,0.,0.,0.,0.,0.006,0.001,0.005,0.001,0.001,0.,0.002,0.,0.002,0.004,0.003,0.,0.,0.,0.,0.017,0.008,0.009
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.075,0.011,0.063,0.056,0.007,0.048,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.001,0.,0.001,0.007,0.003,0.003,0.,0.,0.,0.075,0.011,0.063
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.031,0.008,0.022,0.001,0.,0.,0.,0.,0.,0.011,0.,0.011,0.003,0.003,0.,0.003,0.,0.003,0.01,0.003,0.006,0.001,0.,0.001,0.029,0.008,0.021
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.074,0.012,0.062,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002,0.058,0.011,0.047,0.001,0.,0.001,0.074,0.012,0.061
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.03,0.,0.03,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.003,0.,0.003,0.002,0.,0.002,0.011,0.,0.011,0.001,0.,0.001,0.029,0.,0.029
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.039,0.004,0.035,0.001,0.,0.,0.,0.,0.,0.012,0.,0.012,0.008,0.003,0.004,0.002,0.,0.002,0.013,0.,0.013,0.001,0.,0.001,0.038,0.004,0.034
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.041,0.,0.041,0.001,0.,0.001,0.,0.,0.,0.014,0.,0.014,0.005,0.,0.005,0.003,0.,0.003,0.016,0.,0.016,0.001,0.,0.001,0.04,0.,0.04
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.052,0.,0.052,0.001,0.,0.001,0.,0.,0.,0.015,0.,0.015,0.006,0.,0.006,0.003,0.,0.003,0.024,0.,0.024,0.001,0.,0.001,0.051,0.,0.051
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.057,0.,0.057,0.001,0.,0.001,0.,0.,0.,0.016,0.,0.016,0.012,0.,0.012,0.003,0.,0.003,0.02,0.,0.02,0.001,0.,0.001,0.056,0.,0.056
