param-n,assert-real,assert-sys,assert-user,build-real,build-sys,build-user,cbn-real,cbn-sys,cbn-user,destruct-real,destruct-sys,destruct-user,record-real,record-sys,record-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
11,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
12,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
13,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
14,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
15,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
16,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
17,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
18,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
19,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
20,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
21,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
22,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
23,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
24,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
25,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
26,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002
27,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
28,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
29,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003
30,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
31,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
32,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004
33,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004
34,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.004,0.,0.004
35,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.004,0.,0.004
36,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.004,0.,0.004
37,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005
38,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005
39,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005
40,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005
41,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005
42,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006
43,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006
44,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006
45,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006
46,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.007,0.,0.007
47,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.007,0.,0.007
48,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.007,0.,0.007
49,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.007,0.,0.007
50,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.008,0.,0.008
51,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.008,0.,0.008
52,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.008,0.,0.008
53,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.009,0.,0.009
54,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.009,0.,0.009
55,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.009,0.,0.009
56,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.01,0.,0.01
57,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.01,0.,0.01
58,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.012,0.,0.012
59,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.011,0.,0.011
60,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.011,0.,0.011
61,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.012,0.,0.012
62,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.012,0.,0.012
63,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.013,0.,0.013
64,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.013,0.,0.013
65,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.013,0.,0.013
66,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.014,0.,0.014
67,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.002,0.,0.014,0.,0.014
68,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.015,0.,0.015
69,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.015,0.,0.015
70,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.015,0.,0.015
71,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.016,0.,0.016
72,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.016,0.,0.016
73,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.017,0.,0.017
74,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.017,0.,0.017
75,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.018,0.003,0.014
76,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.063,0.003,0.059
77,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.02,0.,0.02
78,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.018,0.,0.018
79,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.019,0.,0.019
80,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.02,0.,0.02
81,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.02,0.,0.02
82,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.021,0.,0.021
83,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.021,0.,0.021
84,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.021,0.,0.021
85,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.023,0.,0.023
86,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.022,0.,0.022
87,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.087,0.011,0.075
88,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.023,0.,0.023
89,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.023,0.,0.023
90,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.024,0.,0.024
91,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.027,0.,0.027
92,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.025,0.,0.025
93,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.026,0.,0.026
94,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.027,0.,0.027
95,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.027,0.,0.027
96,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.029,0.,0.029
97,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.029,0.,0.029
98,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.031,0.,0.031
99,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.138,0.015,0.122
100,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.029,0.,0.029
101,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.03,0.,0.03
102,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.031,0.,0.031
103,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.031,0.,0.031
104,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.032,0.,0.032
105,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.033,0.,0.033
106,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.034,0.,0.034
107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.034,0.,0.034
108,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.035,0.,0.035
109,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.035,0.,0.035
110,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.037,0.,0.037
111,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.038,0.,0.038
112,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.04,0.,0.04
113,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.038,0.,0.038
114,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.23,0.015,0.214
115,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.038,0.,0.038
116,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.039,0.,0.039
117,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.04,0.,0.04
118,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.042,0.,0.042
119,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.041,0.,0.041
120,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.041,0.,0.041
121,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.042,0.,0.042
122,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.044,0.,0.044
123,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.044,0.,0.044
124,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.045,0.,0.045
125,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.046,0.,0.046
126,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.049,0.,0.049
127,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.048,0.,0.048
128,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.049,0.,0.049
129,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.05,0.,0.05
130,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.052,0.,0.052
131,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.292,0.019,0.272
132,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.05,0.,0.05
133,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.003,0.006,0.051,0.,0.051
134,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.052,0.,0.052
135,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.053,0.,0.053
136,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.054,0.,0.054
137,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.057,0.,0.057
138,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.061,0.,0.061
