param-n assert-real assert-sys assert-user build-real build-sys build-user cbn-real cbn-sys cbn-user destruct-real destruct-sys destruct-user record-real record-sys record-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
10 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
11 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
12 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
13 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
14 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
16 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
17 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
18 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
19 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
20 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
21 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
22 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
23 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
24 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
25 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
26 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
27 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
28 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
29 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
30 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
31 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
32 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
33 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
34 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
35 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
36 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
37 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
38 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
39 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
40 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
41 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
42 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
43 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
44 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
45 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
46 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
47 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
48 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
49 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
50 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.002 0. 0.002
51 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
52 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
53 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
54 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
55 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
56 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
57 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
58 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
59 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
60 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
61 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
62 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
63 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
64 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.002 0.002 0. 0.002
65 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
66 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
67 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
68 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
69 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
70 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
71 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
72 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
73 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.004 0. 0.004
74 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
75 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
76 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003
77 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
78 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
79 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
80 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
81 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
82 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
83 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
84 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
85 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
86 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
87 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
88 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.005 0. 0.005
89 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
90 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.005 0. 0.005
91 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
92 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.004 0. 0.004
93 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.004 0. 0.004
94 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.004 0. 0.004
95 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.004 0. 0.004
96 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.004 0. 0.004
97 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.004 0. 0.004
98 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.004 0. 0.004
99 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.013 0. 0.013 0.004 0. 0.004
100 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.004 0. 0.004
101 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.004 0. 0.004
102 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.004 0. 0.004
103 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.005 0. 0.005
104 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
105 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
106 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
107 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.006 0. 0.006
108 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.005 0. 0.005
109 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.004 0. 0.004
110 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.005 0. 0.005
111 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.007 0. 0.007
112 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.005 0. 0.005
113 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
114 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
115 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
116 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.006 0. 0.006
117 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
118 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
119 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
120 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
121 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
122 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
123 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.006 0. 0.006
124 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
125 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0.006 0. 0.006
126 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
127 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
128 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
129 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
130 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
131 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.008 0. 0.008
132 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
133 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
134 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
135 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
136 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
137 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
138 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.01 0. 0.01
139 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
